"key","value"
"ain't","am not"
"I ain't","am not"
"you ain't","you are not"
"she ain't","she is not"
"he ain't","he is not"
"they ain't","they are not"
"amn't","am not"
"aren't","are not"
"can't","cannot"
"could've","could have"
"couldn't","could not"
"couldn't've","could not have"
"didn't","did not"
"doesn't","does not"
"don't","do not"
"e'er","ever"
"hadn't","had not"
"hadn't've","had not have"
"hasn't","has not"
"haven't","have not"
"he'd","he had "
"he'dn't","he had not "
"he'dn't've","he had not have "
"he'd've","he would have"
"he'll","he will"
"he's","he has "
"he'sn't","he has not "
"how'd","how did "
"how'll","how will"
"how's","how is"
"i'd","i had "
"i'dn't","i had not "
"i'dn't've","i had not have "
"i'd've","i would have"
"i'll","i will"
"i'm","i am"
"i've","i have"
"i'ven't","i have not"
"isn't","is not"
"it'd","it would"
"it'dn't","it would not"
"it'dn't've","it would not have"
"it'd've","it would have"
"it'll","it will"
"it's","it is"
"it'sn't","it is not"
"let's","let us"
"ma'am","madam"
"mightn't","might not"
"mightn't've","might not have"
"might've","might have"
"mustn't","must not"
"mustn't've","must not have"
"must've","must have"
"needn't","need not"
"ne'er","never"
"not've","not have"
"o'clock","of the clock"
"o'er","over"
"ol'","old"
"oughtn't","ought not"
"oughtn't've","ought not to have"
"shan't","shall not"
"she'd","she would"
"she'dn't","she had not "
"she'dn't've","she had not have "
"she'd've","she would have"
"she'll","she will"
"she's","she is"
"she'sn't","she is not"
"should've","should have"
"shouldn't","should not"
"shouldn't've","should not have"
"somebody'd","somebody had "
"somebody'dn't","somebody had not "
"somebody'd've","somebody would have"
"somebody'dn't've","somebody had not have "
"somebody'll","somebody will"
"somebody's","somebody has "
"someone'd","someone had "
"someone'dn't","someone had not "
"someone'dn't've","someone had not have "
"someone'd've","someone would have"
"someone'll","someone shall "
"someone's","someone has "
"something'd","something had "
"something'dn't","something had not "
"something'dn't've","something had not have "
"something'd've","something would have"
"something'll","something shall "
"something's","something has "
"s'pose","suppose"
"that'll","that will"
"that's","that has "
"that'd","that would "
"there'd","there had "
"there'dn't","there had not "
"there'dn't've","there had not have "
"there'd've","there would have"
"there're","there are"
"there's","there has "
"they'd","they had "
"they'dn't","they had not "
"they'dn't've","they had not have "
"they'd've","they would have"
"they'd'ven't","they would have not"
"they'll","they shall "
"they'lln't've","they will not have"
"they'll'ven't","they will have not"
"they're","they are"
"they've","they have"
"they'ven't","they have not"
"tis","it is"
"twas","it was"
"wanna","want to"
"wasn't","was not"
"we'd","we had "
"we'd've","we would have"
"we'dn't","we had not "
"we'dn't've","we had not have "
"we'll","we will"
"we'lln't've","we will not have"
"we're","we are"
"we've","we have"
"weren't","were not"
"what'd","what did"
"what'll","what shall "
"what're","what are"
"what's","what has "
"what've","what have"
"when's","when has "
"where'd","where did"
"where's","where has "
"where've","where have"
"who'd","who would "
"who'd've","who would have"
"who'll","who shall "
"who're","who are"
"who's","who has "
"who've","who have"
"why'd","why did"
"why'll","why will"
"why're","why are"
"why's","why has "
"won't","will not"
"won't've","will not have"
"would've","would have"
"wouldn't","would not"
"wouldn't've","would not have"
"y'all","you all"
"y'all'd've","you all would have"
"y'all'dn't've","you all would not have"
"y'all'll","you all will"
"y'all'on't","you all will not"
"y'all'll've","you all will have"
"y'all're","you all are"
"y'all'll'ven't","you all will have not"
"you'd","you had "
"you'd've","you would have"
"you'll","you shall "
"you're","you are"
"you'ren't","you are not"
"you've","you have"
"you'ven't","you have not"
"aint","am not"
"I aint","am not"
"you aint","you are not"
"she aint","she is not"
"he aint","he is not"
"they aint","they are not"
"amnt","am not"
"arent","are not"
"cant","cannot"
"couldve","could have"
"couldnt","could not"
"couldntve","could not have"
"didnt","did not"
"doesnt","does not"
"dont","do not"
"eer","ever"
"hadnt","had not"
"hadntve","had not have"
"hasnt","has not"
"havent","have not"
"hed","he had "
"hednt","he had not "
"hedntve","he had not have "
"hedve","he would have"
"hes","he has "
"hesnt","he has not "
"howd","how did "
"howll","how will"
"hows","how is"
"idnt","i had not "
"idntve","i had not have "
"idve","i would have"
"ill","i will"
"im","i am"
"ive","i have"
"ivent","i have not"
"isnt","is not"
"itd","it would"
"itdnt","it would not"
"itdntve","it would not have"
"itdve","it would have"
"itll","it will"
"its","it is"
"itsnt","it is not"
"maam","madam"
"mightnt","might not"
"mightntve","might not have"
"mightve","might have"
"mustnt","must not"
"mustntve","must not have"
"mustve","must have"
"neednt","need not"
"neer","never"
"notve","not have"
"oclock","of the clock"
"oer","over"
"ol","old"
"oughtnt","ought not"
"oughtntve","ought not to have"
"shant","shall not"
"shed","she would"
"shednt","she had not "
"shedntve","she had not have "
"shedve","she would have"
"shes","she is"
"shesnt","she is not"
"shouldve","should have"
"shouldnt","should not"
"shouldntve","should not have"
"somebodyd","somebody had "
"somebodydnt","somebody had not "
"somebodydve","somebody would have"
"somebodydntve","somebody had not have "
"somebodyll","somebody will"
"somebodys","somebody has "
"someoned","someone had "
"someonednt","someone had not "
"someonedntve","someone had not have "
"someonedve","someone would have"
"someonell","someone shall "
"someones","someone has "
"somethingd","something had "
"somethingdnt","something had not "
"somethingdntve","something had not have "
"somethingdve","something would have"
"somethingll","something shall "
"somethings","something has "
"spose","suppose"
"thatll","that will"
"thats","that has "
"thatd","that would "
"thered","there had "
"therednt","there had not "
"theredntve","there had not have "
"theredve","there would have"
"therere","there are"
"theres","there has "
"theyd","they had "
"theydnt","they had not "
"theydntve","they had not have "
"theydve","they would have"
"theydvent","they would have not"
"theyll","they shall "
"theyllntve","they will not have"
"theyllvent","they will have not"
"theyre","they are"
"theyve","they have"
"theyvent","they have not"
"twas","it was"
"wanna","want to"
"wasnt","was not"
"wed","we had "
"wedve","we would have"
"wednt","we had not "
"wedntve","we had not have "
"well","we will"
"wellntve","we will not have"
"weve","we have"
"werent","were not"
"whatd","what did"
"whatll","what shall "
"whatre","what are"
"whats","what has "
"whatve","what have"
"whens","when has "
"whered","where did"
"wheres","where has "
"whereve","where have"
"whod","who would "
"whodve","who would have"
"wholl","who shall "
"whore","who are"
"whos","who has "
"whove","who have"
"whyd","why did"
"whyll","why will"
"whyre","why are"
"whys","why has "
"wont","will not"
"wontve","will not have"
"wouldve","would have"
"wouldnt","would not"
"wouldntve","would not have"
"yall","you all"
"yalldve","you all would have"
"yalldntve","you all would not have"
"yallll","you all will"
"yallont","you all will not"
"yallllve","you all will have"
"yallre","you all are"
"yallllvent","you all will have not"
"youd","you had "
"youdve","you would have"
"youll","you shall "
"youre","you are"
"yourent","you are not"
"youve","you have"
"youvent","you have not"
